,year,States,GDP_per_capita,Poverty_rate,Unemployment total,Unemployment rate
1,2014,Alabama,189886.3,18.6,146010,6.7
2,2014,Alaska,54188.2,9.9,24577,6.7
3,2014,Arizona,276948.9,18.6,212248,6.8
4,2014,Arkansas,111734.5,18.1,78193,5.9
5,2014,California,2256054.7,16.4,1412174,7.6
6,2014,Colorado,298655.3,11.5,139596,5
7,2014,Connecticut,235780.9,10.7,124984,6.6
8,2014,Delaware,64940.1,11.7,25312,5.6
9,2014,District of Columbia,114553.6,N/A,29263,7.7
10,2014,Florida,817233.5,16.7,614967,6.4
11,2014,Georgia,470009.7,17,338792,7.1
12,2014,Hawaii,73512.4,10.8,28101,4.2
13,2014,Idaho,62454,15.5,34132,4.4
14,2014,Illinois,741194,14.3,467313,7.2
15,2014,Indiana,316783.1,14.8,191839,5.9
16,2014,Iowa,166619.2,11.2,72042,4.2
17,2014,Kansas,145344.1,13,67311,4.5
18,2014,Kentucky,181471.8,19.1,128967,6.4
19,2014,Louisiana,235355.1,19.8,133851,6.3
20,2014,Maine,54037.9,14,39027,5.6
21,2014,Maryland,339604.6,9.7,179106,5.7
22,2014,Massachusetts,451568.9,10.8,204704,5.7
23,2014,Michigan,434313.2,16.2,343703,7.2
24,2014,Minnesota,314091.3,9.9,127310,4.3
25,2014,Mississippi,100283.6,22,94657,7.6
26,2014,Missouri,276080.7,15.5,187028,6.2
27,2014,Montana,43829.1,15.2,23875,4.7
28,2014,Nebraska,107936.8,11,32999,3.3
29,2014,Nevada,130897.4,15.9,112660,8.2
30,2014,New Hampshire,70213.7,8.7,32016,4.3
31,2014,New Jersey,522166.4,11.8,302576,6.7
32,2014,New Mexico,88991.2,20.4,61380,6.6
33,2014,New York,1353410.4,15.4,598239,6.3
34,2014,North Carolina,462253.1,17.2,287640,6.1
35,2014,North Dakota,57790,10.7,10720,2.6
36,2014,Ohio,574177.9,15.8,331389,5.8
37,2014,Oklahoma,189360,16.6,77943,4.3
38,2014,Oregon,181220.6,15.4,129926,6.7
39,2014,Pennsylvania,669643.1,13.7,378984,5.9
40,2014,Rhode Island,52293.4,14.3,43229,7.8
41,2014,South Carolina,185986.9,18.1,139485,6.3
42,2014,South Dakota,44846.5,13,15036,3.3
43,2014,Tennessee,294130.1,17.8,201033,6.6
44,2014,Texas,1529617.1,17.2,673126,5.2
45,2014,Utah,136993.7,11.3,51426,3.6
46,2014,Vermont,28912.2,11.9,13955,4
47,2014,Virginia,447678.1,11,217948,5.1
48,2014,Washington,424467.6,13.2,207249,5.9
49,2014,West Virginia,70532.5,18.3,51778,6.5
50,2014,Wisconsin,283981.1,13.2,164217,5.3
51,2015,Wyoming,39559.4,11.2,13171,4.3
1,2015,Alabama,191335.2,17.1,131852,6.1
2,2015,Alaska,54740.8,10.2,22821,6.3
3,2015,Arizona,282577,16.3,193900,6.1
4,2015,Arkansas,112351,17.2,66516,5
5,2015,California,2357452.9,15.3,1176732,6.3
6,2015,Colorado,312409.7,10.4,105764,3.7
7,2015,Connecticut,242706.5,9.8,106299,5.6
8,2015,Delaware,66793.5,10.6,22197,4.8
9,2015,District of Columbia,116808.4,N/A,26890,6.9
10,2015,Florida,852242.4,14.7,532965,5.5
11,2015,Georgia,489182.3,16,287573,6.1
12,2015,Hawaii,75869.5,9.3,22978,3.4
13,2015,Idaho,63081.2,14.1,30893,3.9
14,2015,Illinois,751754.9,13,391863,6
15,2015,Indiana,313751.2,13.1,156601,4.8
16,2015,Iowa,171126.5,9.7,63082,3.7
17,2015,Kansas,148810.5,12.1,62249,4.2
18,2015,Kentucky,182916,18.5,103632,5.2
19,2015,Louisiana,233016,19.6,134969,6.3
20,2015,Maine,54425.8,13.4,30309,4.4
21,2015,Maryland,348151.8,9,156905,5
22,2015,Massachusetts,468060.9,10,172113,4.8
23,2015,Michigan,443831.2,15,258391,5.4
24,2015,Minnesota,318913.2,9.1,113741,3.8
25,2015,Mississippi,100482.4,21.5,81997,6.5
26,2015,Missouri,279020.8,14.8,156392,5.1
27,2015,Montana,45395.7,14.6,22176,4.3
28,2015,Nebraska,111401.5,10.2,30340,3
29,2015,Nevada,136347.4,14.8,95667,6.8
30,2015,New Hampshire,72042.4,7.3,25485,3.4
31,2015,New Jersey,529953.7,10.9,256730,5.7
32,2015,New Mexico,89701.3,19.8,62094,6.6
33,2015,New York,1373643,14.7,500530,5.2
34,2015,North Carolina,475096.6,15.4,269939,5.7
35,2015,North Dakota,56542.4,11.3,11468,2.8
36,2015,Ohio,578852.4,14.6,282926,5
37,2015,Oklahoma,197071.9,16,78545,4.3
38,2015,Oregon,189946.5,14.1,108189,5.5
39,2015,Pennsylvania,682466.1,12.5,346753,5.4
40,2015,Rhode Island,52819.1,13,33505,6
41,2015,South Carolina,192019.9,16.6,133750,5.9
42,2015,South Dakota,45664.5,12.5,13798,3
43,2015,Tennessee,304484.2,16.7,171532,5.6
44,2015,Texas,1605901.7,15.9,587497,4.5
45,2015,Utah,141720.5,10.2,51512,3.5
46,2015,Vermont,29119,11.4,12250,3.5
47,2015,Virginia,455162.4,10.1,185900,4.4
48,2015,Washington,441952.1,12.2,193577,5.4
49,2015,West Virginia,70663,17.7,52071,6.6
50,2015,Wisconsin,289077,12.1,137159,4.4
51,2015,Wyoming,40418.2,10.7,12714,4.2
1,2016,Alabama,194283.8,16.9,126572,5.9
2,2016,Alaska,54246.6,10.5,23824,6.6
3,2016,Arizona,291275.2,16.4,177617,5.5
4,2016,Arkansas,112798.1,17.2,53461,4
5,2016,California,2427894.6,14.4,1046610,5.5
6,2016,Colorado,318953.4,10.2,90653,3.1
7,2016,Connecticut,243286.7,9.5,91810,4.8
8,2016,Delaware,63001.3,10.4,21168,4.5
9,2016,District of Columbia,119644.3,N/A,24571,6.2
10,2016,Florida,881539.2,14,481064,4.9
11,2016,Georgia,506816.2,15.8,268074,5.4
12,2016,Hawaii,77303.9,9.3,19564,2.9
13,2016,Idaho,65479,14.5,29741,3.7
14,2016,Illinois,749333.5,12.6,386366,5.9
15,2016,Indiana,319601.5,13.4,145401,4.4
16,2016,Iowa,170389.1,9.6,61012,3.6
17,2016,Kansas,153695.3,11.7,60041,4
18,2016,Kentucky,184115,18.5,101166,5
19,2016,Louisiana,228428.5,19.8,129051,6.1
20,2016,Maine,55565.4,12.7,26194,3.8
21,2016,Maryland,360082,8.8,135091,4.3
22,2016,Massachusetts,475349,9.5,145171,4
23,2016,Michigan,452325.2,14,241690,5
24,2016,Minnesota,324030.3,8.6,116762,3.9
25,2016,Mississippi,101255.3,20.8,75595,5.9
26,2016,Missouri,279109.2,14,139447,4.5
27,2016,Montana,44436.8,14,22470,4.3
28,2016,Nebraska,112611.5,9.9,31096,3.1
29,2016,Nevada,140081.2,13.7,81843,5.8
30,2016,New Hampshire,73572.2,7.3,21476,2.9
31,2016,New Jersey,535055.3,10,221620,4.9
32,2016,New Mexico,89151.4,19.8,63730,6.7
33,2016,New York,1403230.5,14,464155,4.9
34,2016,North Carolina,482968.9,14.7,246395,5.1
35,2016,North Dakota,52974.6,11.5,12777,3.1
36,2016,Ohio,583946.4,14,290383,5
37,2016,Oklahoma,193025.1,15.8,84830,4.6
38,2016,Oregon,198079.3,13.3,96696,4.7
39,2016,Pennsylvania,688359.4,12,344247,5.3
40,2016,Rhode Island,52902.6,12.8,28793,5.2
41,2016,South Carolina,198005.7,15.4,111753,4.9
42,2016,South Dakota,46076,13.3,13715,3
43,2016,Tennessee,310143.2,15.8,148720,4.7
44,2016,Texas,1619954.2,15.6,617938,4.6
45,2016,Utah,147962.3,9.7,50156,3.3
46,2016,Vermont,29408.1,10.2,10808,3.1
47,2016,Virginia,459965.8,9.9,169526,4
48,2016,Washington,458263.8,11.3,189031,5.2
49,2016,West Virginia,70011.4,17.9,47899,6.1
50,2016,Wisconsin,291920.3,11.8,121722,3.9
51,2016,Wyoming,38188.7,11.3,16107,5.4
1,2017,Alabama,196974.9,16.9,99585,4.5
2,2017,Alaska,54278.7,11.1,23481,6.5
3,2017,Arizona,303606.1,16.9,160411,5
4,2017,Arkansas,113850.2,16.3,50234,3.7
5,2017,California,2538204,13.3,927302,4.8
6,2017,Colorado,329913.3,9.7,77810,2.6
7,2017,Connecticut,247035.9,9.6,84878,4.4
8,2017,Delaware,60357.5,10.2,21265,4.5
9,2017,District of Columbia,120759.4,N/A,23938,6.1
10,2017,Florida,912687.4,13.3,428098,4.3
11,2017,Georgia,523805.3,15,243076,4.8
12,2017,Hawaii,78947.4,9,15438,2.2
13,2017,Idaho,66941,13.6,26901,3.2
14,2017,Illinois,753027,12.3,324358,4.9
15,2017,Indiana,324997.6,12.8,116644,3.5
16,2017,Iowa,170887.5,9.1,51835,3.1
17,2017,Kansas,155514.7,11.5,53830,3.6
18,2017,Kentucky,185920.6,17.2,98164,4.8
19,2017,Louisiana,233351.7,19.8,107998,5.1
20,2017,Maine,56469.4,12.5,23707,3.4
21,2017,Maryland,366204.4,8.2,129316,4
22,2017,Massachusetts,482808.4,9,142131,3.8
23,2017,Michigan,457614,13.4,225394,4.6
24,2017,Minnesota,327483.2,8.4,107176,3.5
25,2017,Mississippi,101245.3,20.8,66583,5.2
26,2017,Missouri,281253.3,13.4,114220,3.7
27,2017,Montana,45974.3,13.3,21570,4.1
28,2017,Nebraska,114143.9,9.4,30423,3
